framework,time_train_s,metric_error,time_infer_s,bestdiff,loss_rescaled,time_train_s_rescaled,time_infer_s_rescaled,rank,rank=1_count,rank=2_count,rank=3_count,rank>3_count,error_count
XGBoost_r177,12.628981690936618,86122.31803066666,9.005053488358887e-05,0.2501519298720625,0.07401477596323347,11.346672358130878,9.308286122527216,241.37777777777777,0,1,0,89,14
LightGBM_r61,34.392575083946696,77762.77485255103,0.00015860313763762008,0.24599866382071223,0.07928053938630736,11.89188896844902,23.15326687429135,241.5408163265306,0,1,0,97,6
LightGBM_r14,45.896265202229564,75836.78551722772,0.00019244652616672996,0.25611011818374463,0.08037827760684585,19.679743860771072,58.342142220791686,242.3910891089109,0,1,0,100,3
XGBoost_r156,28.672178011470372,86429.69556444444,0.0001175839286908199,0.2481531419048512,0.06972759966389276,25.685243296105742,16.505071315246845,242.56666666666666,0,0,0,90,14
XGBoost_r19,82.90033796855381,78887.41890826532,8.838642874707497e-05,0.2404171521443701,0.0688278866106769,41.36079866874027,19.30342282239437,243.12755102040816,0,0,0,98,6
XGBoost_r84,34.44075388036748,83525.32187258065,9.930469896066392e-05,0.24303358143348877,0.0708718935109968,20.312935177045503,14.57419644946922,243.13440860215053,0,0,0,93,11
XGBoost_r67,21.46496982777372,83068.16149106382,7.941286825458323e-05,0.24133808368750712,0.06837370400408083,12.492831196416319,8.952950042176592,243.16489361702128,0,0,0,94,10
XGBoost_r196,31.948653617601718,86392.18775449439,0.00013266401043887687,0.2482097288877275,0.07151108645844774,31.158885142428467,20.233367432934504,243.57303370786516,1,0,0,88,15
LightGBM_r8,42.01500254752589,74756.05136588235,0.00012658973814493163,0.24723472166223515,0.07321705963259684,16.311311324936042,38.038886889137025,243.94607843137254,0,0,0,102,2
LightGBM_r98,13.510559058958485,82342.29385333334,0.00020808039623586,0.24800921860855996,0.08062410112460455,9.72937685295214,46.96104961224856,244.31182795698925,0,0,0,93,11
XGBoost_r28,138.882222053956,79691.96540479592,0.00013912581625844593,0.24474278245591233,0.07122188697539177,69.2087740921322,31.748383595133944,244.6173469387755,0,0,0,98,6
LightGBM_r17,34.38922150064223,75884.63914762376,0.00015712844508758317,0.25473788700631134,0.08298955173614674,16.740155851419452,51.341762340801935,244.68316831683168,0,0,1,100,3
XGBoost_r158,9.407255146238539,85651.93391311112,7.87419568374978e-05,0.25238888776424595,0.07202898516486303,8.636940121666441,7.44626929807926,244.7111111111111,0,0,0,90,14
XGBoost_r8,76.66349997142754,77148.65507465348,7.081047318871809e-05,0.23587842465088177,0.06799239898143736,35.329275435290725,14.442554104451945,244.79207920792078,0,0,1,100,3
